name,octagon_debut,height,weight,reach,leg_reach,sig_strikes_landed_per_minute,sig_strikes_absorbed_per_minute,takedowns_avg,submission_avg,knockdown_avg,fight_time_avg
damarques johnson,"Jun. 20, 2009",73.0,183.0,74.2,41.6,2.0,4.0,1.18,0.71,0.47,381
daermisi zhawupasi,"Sep. 27, 2025",67.4,149.9,67.8,38.3,2.0,2.0,7.74,1.35,0.0,668
daichi abe,"Sep. 22, 2017",69.0,170.5,71.5,42.0,4.0,4.0,0.33,0.0,0.33,900
daiju takase,"Jul. 16, 1999",72.0,163.0,72.8,39.7,0.0,2.0,0.84,1.17,0.0,767
dakota bush,"Apr. 17, 2021",70.0,155.5,73.5,39.0,3.0,4.0,2.4,0.0,0.0,564
dakota weigher,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
dalcha lungiambula,"Jun. 29, 2019",68.0,185.5,76.0,40.0,3.0,4.0,2.14,0.0,0.21,600
dale hartt,"Jul. 19, 2008",68.0,156.0,70.5,39.1,1.0,2.0,1.22,2.45,0.0,245
dallas marron,"Feb. 9, 2024",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
damian grabowski,"Feb. 7, 2016",73.0,261.4,75.0,41.0,4.0,8.0,0.0,0.0,0.0,350
damian stasiak,"Apr. 11, 2015",68.0,133.0,70.0,40.0,2.0,3.0,2.64,0.61,0.0,739
damien brown,"Mar. 20, 2016",70.0,156.0,68.5,42.5,4.0,5.0,0.68,0.68,0.45,661
damir hadzovic,"Apr. 10, 2016",69.0,155.5,70.0,40.0,3.0,4.0,0.91,0.15,0.3,592
damir ismagulov,"Dec. 2, 2018",70.0,156.0,74.0,40.0,3.0,2.0,1.0,0.0,0.14,900
damon jackson,"Aug. 30, 2014",71.0,155.2,71.0,41.5,3.0,3.0,2.3,1.2,0.0,588
dan argueta,"Jun. 4, 2022",67.0,138.5,68.0,38.0,2.0,3.0,4.36,1.45,0.0,723
dan barrera,"Dec. 9, 2007",69.0,170.0,71.0,40.2,1.0,1.0,1.0,0.0,0.0,900
dan christison,"Apr. 6, 2006",80.0,265.0,81.7,44.2,4.0,4.0,0.0,1.05,0.0,859
dan cramer,"Jan. 31, 2009",74.0,170.0,75.7,42.7,1.0,2.0,0.0,0.5,0.0,900
dan downes,"Jun. 5, 2011",72.0,155.0,72.6,41.1,2.0,4.0,0.0,0.53,0.0,842
dan evensen,"Aug. 9, 2008",75.0,242.0,78.0,42.6,0.0,4.0,0.0,3.99,0.0,226
dan hardy,"Oct. 18, 2008",72.0,169.0,72.0,40.8,2.0,3.0,0.73,0.36,0.36,742
dan henderson,"May. 15, 1998",71.0,184.0,74.0,39.0,2.0,3.0,1.52,0.34,0.71,699
dan hooker,"Jun. 28, 2014",72.0,155.5,75.0,42.5,5.0,5.0,0.73,0.33,0.6,613
dan ige,"Jul. 25, 2017",67.0,145.0,71.0,38.0,4.0,4.0,0.89,0.22,0.45,769
dan lauzon,"Oct. 14, 2006",70.0,155.0,69.8,40.1,1.0,4.0,1.63,2.71,0.54,415
dan miller,"Sep. 17, 2008",73.0,184.0,74.0,41.9,2.0,3.0,1.67,1.77,0.2,610
dan moret,"Apr. 15, 2018",72.0,155.0,73.0,42.5,3.0,4.0,1.25,0.42,0.0,720
dan severn,"Dec. 16, 1994",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
dan stittgen,"Feb. 4, 2012",73.0,170.0,73.6,41.5,3.0,4.0,0.78,0.0,0.0,577
daniel barez,"Jul. 22, 2023",66.0,126.0,66.0,37.0,4.0,6.0,1.93,0.64,0.64,698
daniel bobish,"Jul. 27, 1997",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,2.0,2.0,2.44,1.63,0.0,369
daniel cormier,"May. 20, 2012",71.0,236.0,72.5,41.5,4.0,3.0,1.83,0.42,0.26,747
