days_since_debut_diff,losses_diff,wins_diff,head_target_diff,sig_strikes_ground_diff,sig_strikes_landed_diff,knockdown_avg_diff,takedowns_avg_diff,sig_strikes_standing_diff,sig_strikes_attempted_diff,takedowns_attempted_diff,takedown_defense_diff,submission_avg_diff,days_since_win_diff,leg_target_diff,winner
-231,-4,-3,-196,-78,-375,-1.04,5.88,-203,-892,25,-32,0.65,-80.0,-105,1
0,1,3,-37,-26,-37,0.0,-1.32,-21,-54,-4,30,0.0,0.0,-13,1
0,-6,-3,-49,-28,-97,0.0,-0.52,-55,-157,0,-50,0.0799999999999998,0.0,-19,1
0,-9,-12,-186,7,-259,0.16,1.18,-231,-725,-36,7,0.26,0.0,-48,1
0,-2,-5,-219,-48,-303,-1.53,8.71,-229,-606,2,-55,2.22,0.0,-57,1
-735,-9,-12,-1175,-405,-1778,0.64,1.35,-1251,-4371,-219,34,1.15,-581.0,-261,1
0,-4,-10,-598,-69,-847,-0.44,-2.59,-584,-1917,-131,-4,-0.33,-126.0,-180,1
-567,1,-11,-92,-26,-131,-0.18,-2.0700000000000003,-92,-212,-44,50,-2.25,0.0,-22,1
0,-7,-4,-34,-5,-48,0.08,1.03,-30,-66,-2,31,-0.1599999999999999,0.0,-5,1
315,-1,-13,-225,-41,-365,-0.01,-1.35,-207,-571,-30,11,0.27,273.0,-14,1
560,1,2,-177,-168,-318,0.17,-1.62,-59,-559,-90,-27,1.38,-18.0,-37,1
116,-1,-4,15,49,63,-0.6399999999999999,-0.24,7,-14,11,-16,1.1800000000000002,108.0,35,1
-105,1,8,-80,-16,-138,0.0,-0.8200000000000003,-110,-383,-23,0,0.3999999999999999,0.0,-30,1
0,1,-5,-454,-63,-601,-0.08,0.1,-496,-1469,-36,-34,0.8300000000000001,0.0,-37,1
-56,-6,-4,-382,-135,-769,-0.38,-1.3099999999999998,-461,-1746,-77,1,-0.5800000000000001,42.0,-107,1
-898,5,6,421,121,750,0.1,-0.5300000000000002,446,1447,112,-19,-0.2199999999999999,-605.0,136,0
109,2,-1,-49,-61,-213,-0.3699999999999999,-1.3199999999999998,-45,-292,-42,-25,0.91,-101.0,-85,1
-28,6,8,-105,-29,-327,1.16,0.3600000000000001,-165,-509,-10,16,0.3599999999999999,-364.0,-104,1
70,3,7,-776,7,-793,0.37,-0.51,-751,-2158,-52,-13,-0.1699999999999999,-21.0,52,1
0,5,8,901,64,1201,-0.1899999999999999,-1.86,845,2231,-20,-39,0.5900000000000001,409.0,129,1
0,-1,-11,-5,7,-3,-0.66,0.2299999999999999,-10,-54,-1,-6,0.48,0.0,3,1
287,-10,-18,-1045,-274,-1776,-0.2,-1.2999999999999998,-1188,-3756,-189,-15,-0.57,119.0,-316,1
-45,-7,-13,-282,-47,-419,0.1,-1.2,-296,-703,-31,-13,0.19,-77.0,-51,1
-333,-3,-14,-392,-229,-430,0.16,-0.8200000000000003,-156,-846,-243,-15,0.78,-476.0,5,1
0,-8,-11,-510,-43,-747,0.0,1.82,-473,-2044,-17,-76,0.0,0.0,-115,1
98,1,-6,60,21,63,0.0,0.53,26,97,1,86,0.27,259.0,-3,1
-539,-1,1,-8,-15,-22,-0.4,-1.03,-24,-144,2,-21,0.26,0.0,-40,1
294,3,-1,-46,-104,-75,0.95,-2.87,-21,-434,-83,-11,-0.25,63.0,39,1
154,4,7,62,-32,30,0.0,-1.88,15,121,-5,-8,0.0,0.0,-17,1
-186,-3,1,-276,-100,-443,-0.33,-3.08,-203,-1007,-87,-33,0.25,0.0,-86,1
-414,-8,-11,-149,-40,-320,-0.17,-0.2400000000000002,-188,-487,-38,-14,2.02,-225.0,-119,1
42,-3,-5,-170,-46,-175,-0.77,0.8000000000000003,-74,-481,-19,-73,0.65,0.0,14,1
-644,-1,1,-189,-125,-406,0.0,-2.02,-150,-1034,-67,-45,0.4499999999999999,-231.0,-99,1
259,-1,-7,-6,-10,-22,0.21,-0.3800000000000003,-32,45,-33,82,-3.72,175.0,-9,1
